"id";"normalised";"hiscocat";"hiscocatname";"hiscocatdesc"
"430";"stoelenfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"431";"stofzuigers";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"432";"stroohoedenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/79310";"Hat Maker, General";"Makes men's and women's hats, using a variety of materials such as felt, silk, velvet and straw. May operate machine that stretches felt cones to form hat shapes."
"433";"stucadoors";"https://iisg.amsterdam/resource/hisco/code/hisco/95510";"Plasterer, General";"Applies one or more coats of plaster to interior walls and ceilings of buildings to produce a finished surface."
"434";"suiker, honig, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"435";"suikerraffinadeurs";"https://iisg.amsterdam/resource/hisco/code/hisco/77250";"Crystalliser Operator (Sugar Refining)";"Tends tank in which sugar crystals are produced from hot sugar liquor."
"436";"tabak en sigaren (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"437";"tabak en sigaren (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"438";"tabak en sigaren (winkeliers en fabrikanten in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"439";"tandartsen";"https://iisg.amsterdam/resource/hisco/code/hisco/063";"Dentists";"Workers in this unit group apply medical knowledge to the prevention, diagnosis and treatment of human dental or oral disorders. Their functions include: performing diagnostic, preventive and curative services for dental or oral diseases and disorders; giving surgical, medical and other forms of treatment for particular types of dental and oral diseases and disorders; planning and directing public action to improve oral health and to control and improve standards of dental care and treatment of oral disorders."
"440";"tandreinigingsmiddelen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"441";"tapijten, enz. (commissionairs, winkeliers en kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"442";"tapijten (in oostersche)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"443";"technische bureaux";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"444";"teeken- en schilderbehoeften (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"445";"teer en pek (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"446";"tegelplatenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/87310";"Sheet-Metal Worker, General";"Makes, installs and repairs a variety of sheet-metal articles by hand and machine."
"447";"tegels (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"448";"thee (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"449";"timmerlieden";"https://iisg.amsterdam/resource/hisco/code/hisco/95410";"Carpenter, General";"Cuts out, assembles, erects and repairs structural and other woodwork at work bench and on construction site."
"450";"tooneelspelers";"https://iisg.amsterdam/resource/hisco/code/hisco/17320";"Actor";"Plays parts in dramatic productions."
"451";"toonkunstenaars";"https://iisg.amsterdam/resource/hisco/code/hisco/17140";"Instrumentalist";"Plays one or more musical instruments as soloist, accompanist or member of instrumental group."
"452";"touwslagers";"https://iisg.amsterdam/resource/hisco/code/hisco/75710";"Rope Maker, General";"Makes ropes from natural and artificial fibres by hand or machine."
"453";"touwwerk (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"454";"translateurs";"https://iisg.amsterdam/resource/hisco/code/hisco/15990";"Other Authors, Journalists and Related Writers";"This group includes journalists and related writers not elsewhere classified, for example those who compile and write material for encyclopaedias; write words for musical works; write scripts for television and radio productions; adapt plays for broadcasting or filming; or specialise in providing extempore commentaries on events of public interest, such as sports meetings, for broadcasting over radio or television."
"455";"tuin-, bloem- en landbouwzaden (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"456";"tullen, tulle gordijnen, kanten, vitrages, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"457";"turnartikelen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"458";"uitdragers";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"459";"uitrustingen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"460";"uitzetten (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"461";"uurwerken (grossiers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"462";"varkensslachters";"https://iisg.amsterdam/resource/hisco/code/hisco/77320";"Slaughterer";"Slaughters animals and flays, trims and reduces carcasses."
"463";"vee (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"464";"veeartsen";"https://iisg.amsterdam/resource/hisco/code/hisco/06510";"Veterinarian, General";"Diagnoses and gives or prescribes medical and surgical treatment of diseases, injuries or other medical conditions of animals and deals with other aspects of animal health."
"465";"veevoeder (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"466";"vellenbereiders";"https://iisg.amsterdam/resource/hisco/code/hisco/76130";"Hide Flesher and Dehairer (Hand)";"Removes flesh and traces of hair from hides with hand knife."
"467";"ventilators (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"468";"verfwaren, vensterglas enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"469";"vergulders";"https://iisg.amsterdam/resource/hisco/code/hisco/93920";"Brush-Painter (except Construction)";"Applies decorative and protective coatings of paint, enamel and lacquer on wooden, metal and other manufactured articles (except glass and ceramics) with brush and hand rollers."
"470";"verhuurders van zakken en dekkleeden";"https://iisg.amsterdam/resource/hisco/code/hisco/41040";"Working Proprietor (Hiring Out)";"Conducts a business by hiring services and vehicles."
"471";"verkoopingen (ondernemers van publieke)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"472";"vermakelijkheden (ondernemers van publieke)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"473";"vermouth di torino";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"474";"verplegingsartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"475";"verveender";"https://iisg.amsterdam/resource/hisco/code/hisco/62970";"Peat Worker";"Extracts peat from uplands and bogs using a shovel. May lay out stods for drying and storage and prepare them for transportation."
"476";"ververs en chemische wasscherijen (stoffen-)";"https://iisg.amsterdam/resource/hisco/code/hisco/75622";"Yarn, Fabric or Garment Dyer";"Treats yarn (7-56.20), textile fabric (7-56.25) or garment (7-56.30) with dyes to give it required colour."
"477";"verwarmingstoestellen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"478";"victualiën (in scheeps-)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"479";"vilt, poetskatoen, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"480";"visch, spaansche fruiten, stokvisch, enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"481";"visscherij-artikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"482";"vleeschhouwers";"https://iisg.amsterdam/resource/hisco/code/hisco/77330";"Meat Cutter";"Cuts meat into portions suitable for sale to individual customers or for use in meat-processing plants."
"483";"vleeschrookers";"https://iisg.amsterdam/resource/hisco/code/hisco/77460";"Meat and Fish Smoker";"Operates smoke chambers or ovens to smoke meat, fish and other foodstuffs."
"484";"vogelkooienmakers enz.";"https://iisg.amsterdam/resource/hisco/code/hisco/72990";"Other Metal Processors";"This group includes other metal processors not elsewhere classified."
"485";"vogels (handelaren in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41030";"Working Proprietor (Retail Trade)";"Conducts a business in retail trade on own behalf or in partnership, buying goods and selling them for personal or household consumption or other use."
"486";"vouwdoozen (fabrikanten van";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"487";"vroedvrouwen";"https://iisg.amsterdam/resource/hisco/code/hisco/07310";"Professional Midwife";"Gives professional care and advice to women to aid them during pregnancy, childbirth and the postnatal period. A professional nurse specialising in obstetrics is classified as Specialised nurse (0-71.20)."
"488";"vruchtensappen, vruchtenessences, aetherische olien, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"489";"vuurwerkmakers (kunst-)";"https://iisg.amsterdam/resource/hisco/code/hisco/74990";"Other Chemical Processors and Related Workers";"This group includes chemical processors and related workers not elsewhere classified, for example those who tend electrolytic cells used in the production of chemicals; wash chemicals in the processing of chemical products; coat pills and tablets to make them palatable and to preserve their ingredients; oxidise lead to form red lead; treat lead with acid or heat to form white lead; prepare starches and glucose; treat rubber latex with chemicals to coagulate it; and treat latex with smoke."
"490";"vijlenfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"491";"wapens (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"492";"wasch-en strijkinrichtingen, enz.";"https://iisg.amsterdam/resource/hisco/code/hisco/56010";"Launderer, General";"Performs duties such as washing, drying and ironing clothing, textile fabrics and similar articles in a laundry or in private house."
"493";"waschmachines (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"494";"waschverzenders";"https://iisg.amsterdam/resource/hisco/code/hisco/56090";"Other Launderers, Dry-Cleaners and Pressers";"This group includes launderers, dry-cleaners and pressers not elsewhere classified, for example those who mark for identification articles received for treatment; sort articles according to type and colour of material and fastness of dye; wash delicate or excessively stained articles with a starch solution; press articles with a mangle; clean carpets with a soap or chemical solution."
"495";"wattenfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"496";"werkers van den handel";"https://iisg.amsterdam/resource/hisco/code/hisco/99900";"Worker, No Further Information";"May perform any (but not all) of the occupational activities listed in unit group 9-99, but is described only by the single term >worker=."
"497";"werktuigen en machineriën (commissionairs en kooplieden in stoom- en andere)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking."
"498";"werktuigen en machineriën (fabrikanten en herstellers in stoom- en andere)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"499";"werktuigkundigen";"https://iisg.amsterdam/resource/hisco/code/hisco/832";"Toolmakers, Metal Pattern Makers and Metal Markers";"Workers in this unit group make tools, dies, patterns and other metal articles, using hand and machine tools to work metal to fine tolerances. Their functions include: making, maintaining and repairing dies, jogs, gauges and fixtures, using hand tools and various kinds of machine tools; fitting and assembling parts to make and repair jigs, fixtures and gauges; making and repairing metal patterns for preparation of foundry moulds; laying out lines and reference points on metal stock to guide other workers who cut, turn, mill, grind or otherwise shape metal; performing other tasks related to the manufacture of tools, dies, and patterns. Workers making metal patterns by moulding and casting processes are classified in minor group 7-2."
"500";"winkelbetimmeringen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"501";"winkelgordijnen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"502";"wissels (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"503";"witwerkers";"https://iisg.amsterdam/resource/hisco/code/hisco/81190";"Other Cabinetmakers";"This groups includes cabinetmakers not elsewhere classified, for example those who make billiard tables, piano shells, small wooden cases for jewellery and instruments, clock cases and similar products."
"504";"wolartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"505";"wijnen, enz. (agenten in)";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"506";"wijnkoopers";"https://iisg.amsterdam/resource/hisco/code/hisco/42220";"Buyer";"Buys goods for resale in wholesale and retail trade."
"507";"wijnkuipers";"https://iisg.amsterdam/resource/hisco/code/hisco/73290";"Other Sawyer, Plywood Makers and Related Wood-Processing Workers";"This group includes sawyers, plywood makers and related wood-processing workers not elsewhere classified, for example those who are mainly occupied in peeling bark from logs preparatory to sawing or veneer-cutting; operating power saws to cut logs into specified barrel stave lengths; operating banks of circular saws to cut out defective sections of boards (trimming); or operating edge-gluing machines to join veneer strips into sheets."
"508";"ijs (in ruw en duinwater-)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"509";"ijzergieters";"https://iisg.amsterdam/resource/hisco/code/hisco/72420";"Metal Pourer";"Pours molten metal from ladle into moulds to produce metal castings."
"510";"ijzerwaren (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"511";"ijzerwaren (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"512";"zaakwaarnemers";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"513";"zadelmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/80320";"Saddler and Harness Maker";"Makes, by hand or machine, saddles, collars and harness for use on horses and other animals."
"514";"zadel- en rijtuigmakersfournituren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"515";"zeepzieders";"https://iisg.amsterdam/resource/hisco/code/hisco/74220";"Cooker (Chemical and Related Processes)";"Cooks materials such as bones, fats, molasses, oils, salts, acids and alkalis in open vats, boiling pans, kettles or similar containers to purify, mix or compound them, give them a special property or effect a chemical change in them."
"516";"zeildoek, dekkleeden, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"517";"zeilen- en vlaggenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/79920";"Sail, Tent and Awning Maker";"Makes completely sails, tents, awnings and similar products, by hand or machine."
"518";"zevenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/94990";"Other Production and Related Workers Not Elsewhere Classified";"This group includes other production and related workers not elsewhere classified, for example those who make footwear from raffia, straw or similar material; operate machines in the making of matches; operate machines in the making of wood-encased pencil"
"519";"ziekenoppassers en verpleegsters";"https://iisg.amsterdam/resource/hisco/code/hisco/59940";"Nursing Aid";"Performs simple tasks to assist nursing personnel, physicians or dentists in a consulting room, clinic, hospital or other institution providing medical or dental care."
"520";"ziekteverzekeringen";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"521";"zilversmeden";"https://iisg.amsterdam/resource/hisco/code/hisco/88050";"Goldsmith and Silversmith";"Makes and repairs gold, silver, or other precious metal articles, or articles of pewter, such as tableware and artistic objects, using hand or power tools."
"522";"zincografie, autotypie, enz. (inrichtingen voor)";"https://iisg.amsterdam/resource/hisco/code/hisco/92490";"Other Printing Engravers (except Photo-Engravers)";"This group includes printing engravers (except photoengravers) not elsewhere classified, for example those copying designs on lithographic stones prior to engraving; engraving wooden rollers; cutting metal stencils."
"523";"zink en blik (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"524";"zout, zeep, soda enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"525";"zouten (fabrikanten van ammonicale)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"526";"zoutzieders";"https://iisg.amsterdam/resource/hisco/code/hisco/74470";"Saltmaker";"Minds and services boiling pans containing brine, and draws or scoops out coarse and fine salt which is precipitated. May also do light and maintain fire under salt pans."
"527";"zuiveraars van huizen, schepen, enz.";"https://iisg.amsterdam/resource/hisco/code/hisco/55220";"Charworker";"Cleans and keeps in orderly condition the interiors of public buildings, offices, commercial establishments, and apartment and private houses."
